name,tag1,tag2,,
kabul,Hear your business on local Kabul radio stations,"[shouting, excited] Lions of Shaheen roar!",,
tirana,Hear your business on local Tirana radio stations,"[shouting, excited] KF Tirana boys forever!",,
algiers,Faites entendre votre entreprise sur les stations locales de Algiers!,"[shouting, excited] Allez le MC Alger!",,
andorra__la__vella,Hear your business on local Andorra la Vella radio stations,"[shouting, excited] Vamos FC Andorra!",,
luanda,Hear your business on local Luanda radio stations,"[shouting, excited] Petro Luanda on top!",,
buenos__aires,¡Haz que tu negocio se escuche en las emisoras locales de Buenos Aires!,"[shouting, excited] ¡Dale Boca dale!",,
yerevan,Hear your business on local Yerevan radio stations,"[shouting, excited] Pyunik strong forever!",,
canberra,Hear your business on local Canberra radio stations,"[shouting, excited] United Canberra pride!",,
vienna,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Vienna!,"[shouting, excited] Rapid Wien vorwärts!",,
baku,Hear your business on local Baku radio stations,"[shouting, excited] Qarabağ champions!",,
nassau,Hear your business on local Nassau radio stations,"[shouting, excited] Go Bahamas Flamingos!",,
manama,Hear your business on local Manama radio stations,"[shouting, excited] Al-Muharraq rising!",,
dhaka,Hear your business on local Dhaka radio stations,"[shouting, excited] Abahani blue pride!",,
bridgetown,Hear your business on local Bridgetown radio stations,"[shouting, excited] Tridents marching on!",,
minsk,Hear your business on local Minsk radio stations,"[shouting, excited] Dinamo Minsk strong!",,
brussels,Faites entendre votre entreprise sur les stations locales de Brussels!,"[shouting, excited] Anderlecht allez-allez!",,
belmopan,Hear your business on local Belmopan radio stations,"[shouting, excited] Bandits rule Belmopan!",,
portonovo,Faites entendre votre entreprise sur les stations locales de Porto-Novo!,"[shouting, excited] Allez les Guépards!",,
thimphu,Hear your business on local Thimphu radio stations,"[shouting, excited] Thimphu City rising!",,
sucre,¡Haz que tu negocio se escuche en las emisoras locales de Sucre!,"[shouting, excited] ¡Universitario fuerte!",,
sarajevo,Hear your business on local Sarajevo radio stations,"[shouting, excited] Sarajevo hearts roar!",,
gaborone,Hear your business on local Gaborone radio stations,"[shouting, excited] Township Rollers rise!",,
brasília,Faça seu negócio ser ouvido nas rádios locais de Brasília!,"[shouting, excited] Vai Gama, vai Gama!",,
bandar__seri__begawan,Hear your business on local Bandar Seri Begawan radio stations,"[shouting, excited] DPMM roaring loud!",,
sofia,Hear your business on local Sofia radio stations,"[shouting, excited] Levski Sofia forever!",,
ouagadougou,Faites entendre votre entreprise sur les stations locales de Ouagadougou!,"[shouting, excited] Allez les Étalons!",,
gitega,Faites entendre votre entreprise sur les stations locales de Gitega!,"[shouting, excited] Allez les Hirondelles!",,
phnom__penh,Hear your business on local Phnom Penh radio stations,"[shouting, excited] Crown of Phnom Penh!",,
yaoundé,Faites entendre votre entreprise sur les stations locales de Yaoundé!,"[shouting, excited] Canon Yaoundé fort!",,
ottawa,Faites entendre votre entreprise sur les stations locales de Ottawa!,"[shouting, excited] Ottawa vamos rojo!",,
praia,Faça seu negócio ser ouvido nas rádios locais de Praia!,"[shouting, excited] Mindelense sempre!",,
